날짜,통합
2007-05-01,81.4825998682476
2007-06-01,81.9415140856035
2007-07-01,76.0665964010579
2007-08-01,74.7004833289015
2007-09-01,71.8604757789952
2007-10-01,86.3960224999765
2007-11-01,91.0150325116139
2007-12-01,97.8414866615236
2008-01-01,105.89
2008-02-01,106.76
2008-03-01,109.97
2008-04-01,110.65
2008-05-01,107.81
2008-06-01,105.79
2008-07-01,117.77
2008-08-01,104.52
2008-09-01,129.27
2008-10-01,144.0
2008-11-01,161.11
2008-12-01,167.37
2009-01-01,159.44
2009-02-01,161.05
2009-03-01,126.37
2009-04-01,114.18
2009-05-01,93.69
2009-06-01,74.08
2009-07-01,66.39
2009-08-01,75.7
2009-09-01,79.78
2009-10-01,83.56
2009-11-01,104.45
2009-12-01,116.77
2010-01-01,122.58
2010-02-01,120.52
2010-03-01,120.88
2010-04-01,115.48
2010-05-01,115.66
2010-06-01,114.8
2010-07-01,114.51
2010-08-01,119.89
2010-09-01,116.42
2010-10-01,112.01
2010-11-01,105.74
2010-12-01,131.43
2011-01-01,132.3
2011-02-01,123.47
2011-03-01,123.7
2011-04-01,117.56
2011-05-01,117.78
2011-06-01,119.84
2011-07-01,119.5
2011-08-01,117.09
2011-09-01,133.51
2011-10-01,123.73
2011-11-01,140.63
2011-12-01,146.64
2012-01-01,147.88
2012-02-01,159.93
2012-03-01,177.53
2012-04-01,158.24
2012-05-01,171.35
2012-06-01,178.16
2012-07-01,185.14
2012-08-01,160.94
2012-09-01,134.01
2012-10-01,150.39
2012-11-01,139.04
2012-12-01,165.46
2013-01-01,152.14
2013-02-01,150.79
2013-03-01,152.13
2013-04-01,163.33
2013-05-01,151.04
2013-06-01,158.13
2013-07-01,155.29
2013-08-01,154.19
2013-09-01,136.88
2013-10-01,155.8
2013-11-01,145.05
2013-12-01,149.9
2014-01-01,143.16
2014-02-01,153.63
2014-03-01,163.4
2014-04-01,151.09
2014-05-01,144.61
2014-06-01,136.35
2014-07-01,142.72
2014-08-01,128.6
2014-09-01,131.44
2014-10-01,132.22
2014-11-01,133.78
2014-12-01,144.1
2015-01-01,140.76
2015-02-01,121.33
2015-03-01,118.35
2015-04-01,103.72
2015-05-01,96.62
2015-06-01,84.54
2015-07-01,81.99
2015-08-01,88.59
2015-09-01,90.98
2015-10-01,98.34
2015-11-01,94.93
2015-12-01,95.46
2016-01-01,90.77
2016-02-01,87.62
2016-03-01,87.31
2016-04-01,75.38
2016-05-01,68.78
2016-06-01,65.31
2016-07-01,67.06
2016-08-01,71.73
2016-09-01,71.55
2016-10-01,73.48
2016-11-01,75.04
2016-12-01,86.93
2017-01-01,86.31
2017-02-01,91.07
2017-03-01,92.06
2017-04-01,75.35
2017-05-01,79.14
2017-06-01,82.71
2017-07-01,76.79
2017-08-01,76.4
2017-09-01,73.21
2017-10-01,72.84
2017-11-01,81.48
2017-12-01,90.77
2018-01-01,92.23
2018-02-01,90.75
2018-03-01,101.47
2018-04-01,90.91
2018-05-01,87.64
2018-06-01,89.79
2018-07-01,87.27
2018-08-01,91.02
2018-09-01,92.87
2018-10-01,102.36
2018-11-01,105.11
2018-12-01,109.95
2019-01-01,111.28
2019-02-01,105.85
2019-03-01,112.42
2019-04-01,99.44
2019-05-01,79.65
2019-06-01,78.54
2019-07-01,79.76
2019-08-01,84.83
2019-09-01,79.64
2019-10-01,88.21
2019-11-01,81.83
2019-12-01,84.18
2020-01-01,84.54
2020-02-01,81.91
2020-03-01,83.35
2020-04-01,75.38
2020-05-01,70.91
2020-06-01,70.92
2020-07-01,71.25
2020-08-01,63.01
2020-09-01,55.94
2020-10-01,50.39
2020-11-01,49.8
2020-12-01,67.14
2021-01-01,70.65
2021-02-01,75.44
2021-03-01,84.22
2021-04-01,76.35
2021-05-01,79.1
2021-06-01,83.11
2021-07-01,87.54
2021-08-01,94.07
2021-09-01,98.77
2021-10-01,107.76
2021-11-01,127.06
2021-12-01,142.81
2022-01-01,154.42
2022-02-01,197.32
2022-03-01,192.75
2022-04-01,202.11
2022-05-01,140.34
2022-06-01,129.72
2022-07-01,151.85
2022-08-01,197.74
2022-09-01,233.42
2022-10-01,251.65
2022-11-01,242.19
2022-12-01,267.63
2023-01-01,240.81
2023-02-01,253.56
2023-03-01,215.9
2023-04-01,164.86
2023-05-01,143.64
2023-06-01,147.13
2023-07-01,153.52
2023-08-01,147.22
2023-09-01,141.19
2023-10-01,137.01
2023-11-01,120.85
2023-12-01,131.12
2024-01-01,138.06
2024-02-01,119.53
2024-03-01,134.47
